source,country,date,type,value
wikipedia,Liberia,02-Apr-20_08:24,recovered,0
wikipedia,Monaco,02-Apr-20_08:24,cases,55
wikipedia,Monaco,02-Apr-20_08:24,deaths,0
wikipedia,Monaco,02-Apr-20_08:24,recovered,2
wikipedia,Albania,02-Apr-20_08:24,cases,259
wikipedia,Albania,02-Apr-20_08:24,deaths,15
wikipedia,Albania,02-Apr-20_08:24,recovered,67
wikipedia,Angola,02-Apr-20_08:24,cases,8
wikipedia,Angola,02-Apr-20_08:24,deaths,2
wikipedia,Angola,02-Apr-20_08:24,recovered,1
wikipedia,Senegal,02-Apr-20_08:24,cases,190
wikipedia,Senegal,02-Apr-20_08:24,deaths,1
wikipedia,Senegal,02-Apr-20_08:24,recovered,45
wikipedia,Cyprus,02-Apr-20_08:24,cases,315
wikipedia,Cyprus,02-Apr-20_08:24,deaths,9
wikipedia,Cyprus,02-Apr-20_08:24,recovered,18
wikipedia,Martinique,02-Apr-20_08:24,cases,131
wikipedia,Martinique,02-Apr-20_08:24,deaths,3
wikipedia,Martinique,02-Apr-20_08:24,recovered,27
wikipedia,Cameroon,02-Apr-20_08:24,cases,233
